date,period_end,company_id,currency,frequency,scenario_id,model,as_of_date,horizon_step,forecasted_net_cash_flow,starting_cash_balance,projected_cash_balance,net_flow_lower,net_flow_upper,cash_balance_lower,cash_balance_upper,uncertainty_method,nominal_level,calibration_paths,uncertainty_is_calibrated
2024-01-01,2024-01-31,code_and_coffee,EUR,MS,baseline,seasonal_naive_12m,2023-12-31,1,13877.45,234549.89,248427.34000000003,6065.210000000001,21689.690000000002,240615.10000000003,256239.58000000002,absolute_backtest_error_envelope_exploratory,0.8,3,False
2024-02-01,2024-02-29,code_and_coffee,EUR,MS,baseline,seasonal_naive_12m,2023-12-31,2,2797.74,234549.89,251225.08000000002,-5428.15,11023.63,242185.95,260264.21000000002,absolute_backtest_error_envelope_exploratory,0.8,3,False
2024-03-01,2024-03-31,code_and_coffee,EUR,MS,baseline,seasonal_naive_12m,2023-12-31,3,7450.07,234549.89,258675.15000000002,-12088.380000000001,26988.52,241232.94000000003,276117.36000000004,absolute_backtest_error_envelope_exploratory,0.8,3,False
