model,family,successful_folds,required_folds,eligible,fit_seconds,MAE,RMSE,sMAPE,bias_actual_minus_pred,fold_MAE_std,worst_fold_MAE
seasonal_naive_12m,seasonal_naive,3,3,True,0.00025891600671457127,5040.736666666667,7719.525054595148,61.755870327728665,-3045.8900000000003,1592.4911856468675,7211.563333333334
Prophet_flat_yearly1_pulse,prophet,3,3,True,0.09270175098936306,5127.696969863079,8124.427405413019,60.76712597033956,-2624.6854786115027,2464.387688017332,8551.555287518639
Prophet_flat_yearly1,prophet,3,3,True,0.07348770699900342,5245.003545823918,8141.933566825323,61.11079260738834,-1755.0044747442146,2414.8142488962803,8551.555287518639
Prophet_flat,prophet,3,3,True,0.3134915419941535,7171.329576505934,9968.103709905427,76.4876534094278,-3249.8488602069997,2481.0209871342645,10489.103785218067
mean,mean,3,3,True,0.0002719589974731207,7171.770024691357,9968.548606152737,76.48776962866772,-3252.1268148148138,2481.6257274905256,10490.789333333332
ARIMA_100,sarima,3,3,True,0.6952177490020404,7340.168270129809,10249.499727383072,92.23882703725847,-2058.0071767361956,2283.164499048117,10210.436727864739
moving_average_3m,moving_average,3,3,True,0.00026449999859323725,8722.442592592593,11729.062184122127,116.2465097134443,-873.485555555555,2398.6729394095014,11378.67
naive,naive,3,3,True,0.0003678749853861518,13633.464444444444,17958.035190411127,116.16115439200587,4433.453333333334,9149.4062055027,26408.67333333333
SARIMA_100_100_12,sarima,0,3,False,0.00015887500921962783,,,,,,
