model,family,successful_folds,required_folds,eligible,fit_seconds,MAE,RMSE,sMAPE,bias_actual_minus_pred,fold_MAE_std,worst_fold_MAE
Prophet_flat_calendar,prophet,3,3,True,0.08343741599674104,531.2286297541914,1529.8483153490172,57.50699272133162,-71.01115294099557,8.082576339727481,542.6423381804277
naive,naive,3,3,True,0.0009709180085337721,832.537666666667,2206.8693993411844,58.58364594148304,-593.2378148148148,102.40252546835087,977.1013333333333
seasonal_naive_7d,seasonal_naive,3,3,True,0.0006707080028718337,880.3244814814819,2220.677647911156,64.9919181384094,-582.6875925925928,78.92947923953001,984.2388888888902
SARIMA_100_100_7,sarima,3,3,True,0.11888604100386146,888.9531441783994,2124.5193042359406,88.35845237499115,-151.31804404151882,68.27926518946694,976.8134846774593
mean,mean,3,3,True,0.0009443739982089028,906.9845487050688,2122.176681251455,93.65699052592207,-119.34075519155516,64.09694823570936,984.5824521212121
moving_average_28d,moving_average,3,3,True,0.000679291995766107,1102.5384338624342,2190.6738129980436,116.12536053248029,140.6796851851854,366.5917786726986,1620.0590952380956
